year,dsr,dsr_demean,dsr_g,f,f_demean,f_g,cons,cons_g,y,y_g,fo,fo_g,vwretd,sprtrn,mkt_rf,smb,hml,rf,sp500,ERP,VW,r11,r12,r13,r14,r15,r21,r22,r23,r24,r25,r31,r32,r33,r34,r35,r41,r42,r43,r44,r45,r51,r52,r53,r54,r55
1980,0.1051066,-0.008923077,1,0.1536681,-0.011538586,1,92.929,1.0062,20155,0.995,3097,0.995,0.332392693,0.257737024,0.199416401,0.053250174,-0.190621714,0.112587335,0.314804521,0.159904521,0.325901839,0.648,0.391,0.351,0.253,0.276,0.533,0.471,0.245,0.275,0.205,0.489,0.322,0.272,0.231,0.116,0.517,0.401,0.279,0.08,0.143,0.333,0.39,0.432,0.209,0.184
1981,0.10387,-0.010159677,0.988234802,0.1529954,-0.012211286,0.995622384,94.297,1.014720916,20454,1.014835029,3129,1.01,-0.03986319,-0.097303664,-0.159767549,0.073691239,0.254469505,0.147174748,-0.048467885,-0.156967885,-0.048638944,-0.251,0.048,0.142,0.187,0.168,-0.108,0.069,0.142,0.188,0.206,-0.064,0.064,0.096,0.116,0.189,-0.04,-0.014,0.083,0.103,0.124,-0.085,-0.085,-0.182,0.064,0.165
1982,0.1048769,-0.009152777,1.009693848,0.1551892,-0.010017486,1.014338993,95.685,1.01471945,20686,1.011342525,3210,1.026,0.204219244,0.147611417,0.096447243,0.071406331,0.096056546,0.10534508,0.203671971,0.124271971,0.221405849,0.172,0.324,0.409,0.357,0.406,0.14,0.329,0.307,0.351,0.425,0.2,0.397,0.301,0.285,0.494,0.161,0.168,0.288,0.286,0.413,0.234,0.148,0.162,0.254,0.21
1983,0.1042576,-0.009772077,0.994094982,0.1546986,-0.010508086,0.996838698,99.65,1.041438052,21214,1.025524509,3282,1.022,0.22650655,0.172712276,0.127203358,0.112774809,0.16048886,0.087957322,0.223122867,0.133122867,0.222868403,0.132,0.376,0.457,0.461,0.59,0.15,0.29,0.393,0.479,0.464,0.169,0.302,0.403,0.371,0.436,0.186,0.225,0.267,0.273,0.319,0.158,0.157,0.226,0.253,0.233
1984,0.1071126,-0.006917077,1.027384095,0.1570568,-0.008149886,1.015243835,103.649,1.040130457,22479,1.059630433,3530,1.076,0.031620344,0.014006942,-0.055558868,-0.078908976,0.1967938,0.098370531,0.059661675,-0.020938325,0.066899078,-0.251,-0.099,-0.067,0.001,0.042,-0.192,-0.024,0.053,0.071,0.126,-0.083,0.038,0.036,0.044,0.102,-0.063,-0.017,0.029,0.031,0.136,0.002,0.085,0.058,0.091,0.233
1985,0.1149478,0.000918123,1.073149191,0.1674485,0.002241814,1.066165234,107.843,1.040463487,22961,1.021442235,3845,1.089,0.3141134,0.263334478,0.232818688,0.002536526,-0.001686168,0.077202909,0.310571634,0.239571634,0.31979426,0.206,0.311,0.312,0.287,0.256,0.287,0.324,0.416,0.427,0.268,0.302,0.327,0.299,0.337,0.394,0.333,0.279,0.36,0.302,0.373,0.311,0.377,0.347,0.288,0.316
1986,0.1190948,0.005065123,1.036077245,0.1731829,0.007976214,1.034245753,111.512,1.03402168,23632,1.029223466,4093,1.064,0.155620222,0.146204273,0.095801789,-0.089348982,0.07757906,0.061570406,0.18539379,0.13009379,0.180660035,-0.035,0.032,0.055,0.125,0.097,0.025,0.083,0.113,0.176,0.096,0.121,0.129,0.124,0.213,0.187,0.118,0.176,0.168,0.219,0.179,0.139,0.221,0.163,0.181,0.268
1987,0.1195592,0.005529523,1.003899415,0.1744285,0.009221814,1.007192396,114.865,1.030068513,23929,1.012567705,4174,1.02,0.018308048,0.020276708,-0.037474711,-0.088133431,-0.041416559,0.054724253,0.056654416,-0.001045584,0.051557898,-0.246,-0.14,-0.086,-0.07,-0.037,-0.13,-0.062,-0.036,-0.045,-0.061,-0.046,-0.005,-0.038,-0.005,-0.037,0.064,-0.01,-0.015,0.027,-0.035,0.094,0.042,0.017,0.033,0.005
1988,0.1170928,0.003063123,0.979370889,0.1705053,0.005298614,0.977508263,118.897,1.035102076,24825,1.037444105,4233,1.014,0.175554675,0.124008137,0.108976355,0.048378015,0.126429184,0.063575362,0.163388376,0.082688376,0.169617622,0.094,0.26,0.273,0.255,0.257,0.117,0.336,0.33,0.283,0.364,0.133,0.192,0.2,0.295,0.305,0.121,0.183,0.216,0.203,0.397,0.103,0.17,0.151,0.213,0.276
1989,0.1172566,0.003226923,1.00139889,0.1698132,0.004606514,0.995940889,122.38,1.029294263,25340,1.020745217,4303,1.017,0.28432164,0.272506205,0.190490395,-0.101256933,-0.035922284,0.083750461,0.312292957,0.235992957,0.313714591,0.079,0.142,0.092,0.179,0.101,0.201,0.196,0.221,0.172,0.173,0.227,0.199,0.141,0.239,0.2,0.295,0.264,0.157,0.294,0.408,0.377,0.252,0.344,0.319,0.285
1990,0.1162918,0.002262123,0.991771892,0.1693517,0.004145014,0.997282308,124.879,1.020420003,25556,1.008524073,4328,1.006,-0.060834919,-0.065589989,-0.130333932,-0.144605322,-0.112828546,0.078381181,-0.031380872,-0.098780872,-0.031922098,-0.282,-0.25,-0.196,-0.19,-0.311,-0.17,-0.184,-0.163,-0.125,-0.274,-0.1,-0.115,-0.14,-0.2,-0.213,-0.006,-0.105,-0.192,-0.131,-0.16,0.065,-0.005,-0.039,-0.15,-0.138
1991,0.1139117,-0.000117977,0.979533381,0.1678338,0.002627114,0.991036996,125.67,1.006334131,25394,0.99366098,4262,0.985,0.33643689,0.263065649,0.27747362,0.128368936,-0.105726885,0.05598602,0.300012113,0.259312113,0.306716848,0.619,0.531,0.483,0.419,0.442,0.555,0.357,0.48,0.37,0.387,0.569,0.457,0.349,0.495,0.375,0.502,0.265,0.417,0.404,0.373,0.482,0.209,0.176,0.292,0.194
1992,0.1065017,-0.007527977,0.934949614,0.1595365,-0.005670186,0.950562402,129.395,1.029641124,26134,1.029140742,4169,0.978,0.090645316,0.044642939,0.060432299,0.063801163,0.221975082,0.035049948,0.074324486,0.042124486,0.077210467,-0.046,0.228,0.164,0.279,0.379,0.026,0.136,0.232,0.278,0.379,0.082,0.206,0.229,0.26,0.401,0.067,0.152,0.16,0.211,0.25,0.02,0.157,0.102,0.063,0.365
