year,dsr,dsr_demean,mdsr,cdsr,f,f_demean,Rfree,Index,D12,div_g,E12,ep,SP500,dp,dy,de,cay_ll,cay_goyal,ERP,ERP5,ERP7,sp1,sp5,sp7,sp12,b/m,tbl,AAA,BAA,lty,ntis,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,MKVGDP,y
1871,NaN,NaN,NaN,NaN,NaN,NaN,0.058857427,4.74,0.26,NaN,0.4,0.084,NaN,0.054852321,NaN,0.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,NaN,NaN,NaN,NaN,NaN,NaN,0.074305532,5.07,0.3,1.153846154,0.43,0.085,0.132911392,0.059171598,0.063291139,0.697674419,NaN,NaN,0.05860586,-0.04249692,-0.030820342,0.132911392,0.017622238,0.023704018,0.080798035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,NaN,NaN,NaN,NaN,NaN,NaN,0.090108147,4.42,0.33,1.1,0.46,0.104,-0.063116371,0.074660633,0.065088757,0.717391304,NaN,NaN,-0.153224518,-0.070490424,0.024077656,-0.063116371,-0.016781269,0.073867814,0.058954295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1874,NaN,NaN,NaN,NaN,NaN,NaN,0.049638119,4.54,0.33,1,0.46,0.101,0.101809955,0.072687225,0.074660633,0.717391304,NaN,NaN,0.052171836,-0.024224748,0.074130882,0.101809955,0.01922662,0.117146924,0.085335344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1875,NaN,NaN,NaN,NaN,NaN,NaN,0.044697863,4.37,0.3,0.909090909,0.36,0.082,0.028634361,0.068649886,0.066079295,0.833333333,NaN,NaN,-0.016063502,0.053919255,0.072603302,0.028634361,0.095676223,0.114588946,0.087428105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1876,NaN,NaN,NaN,NaN,NaN,NaN,0.041846129,3.58,0.3,1,0.28,0.078,-0.112128146,0.083798883,0.068649886,1.071428571,NaN,NaN,-0.153974275,0.096561568,0.071818767,-0.112128146,0.137916831,0.11406381,0.083268858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1877,NaN,NaN,NaN,NaN,NaN,NaN,0.042255515,3.25,0.19,0.633333333,0.3,0.092,-0.039106145,0.058461538,0.053072626,0.633333333,NaN,NaN,-0.08136166,0.135652178,0.083034471,-0.039106145,0.177123282,0.125923603,0.094194148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,NaN,NaN,NaN,NaN,NaN,NaN,0.038819214,3.45,0.18,0.947368421,0.31,0.09,0.116923077,0.052173913,0.055384615,0.580645161,NaN,NaN,0.078103863,0.14761346,0.07013059,0.116923077,0.189936192,0.113051127,0.103938078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,NaN,NaN,NaN,NaN,NaN,NaN,0.041166122,4.92,0.2,1.111111111,0.38,0.077,0.484057971,0.040650407,0.057971014,0.526315789,NaN,NaN,0.442891849,0.11689982,0.090601951,0.484057971,0.160729659,0.132555862,0.086362408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,NaN,NaN,NaN,NaN,NaN,NaN,0.042689334,5.84,0.26,1.3,0.49,0.084,0.239837398,0.044520548,0.052845528,0.530612245,NaN,NaN,0.197148064,-0.006016317,0.039973752,0.239837398,0.038075368,0.081536591,0.064683664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1881,NaN,NaN,NaN,NaN,NaN,NaN,0.042425334,6.01,0.32,1.230769231,0.44,0.073,0.08390411,0.053244592,0.054794521,0.727272727,NaN,NaN,0.041478776,-0.001165252,0.001985136,0.08390411,0.040799132,0.044234592,0.049934429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
