yyyyq,dsr,dsr_demean,mdsr,cdsr,f,f_demean,Rfree,Index,D12,E12,SP500,dp,dy,ep,cay_ll,cay_goyal,ERP,ERP4,ERP8,ERP12,ERP16,ERP24,ERP50,sp1,sp4,sp8,sp12,sp16,sp24,sp50,ik,b/m,tbl,AAA,BAA,lty,ntis,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,D3,E3,y
18711,NaN,NaN,NaN,NaN,NaN,NaN,0.013774839,4.61,0.26,0.4,NaN,0.056399132,NaN,0.086767896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18712,NaN,NaN,NaN,NaN,NaN,NaN,0.011736349,4.82,0.26,0.4,0.101952278,0.053941909,0.056399132,0.082987552,NaN,NaN,0.090215929,0.063117741,0.05316,0.045605138,0.047523736,0.037424262,0.053262986,0.101952278,0.078338645,0.070212164,0.063675149,0.063972553,0.051882248,0.06568814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18713,NaN,NaN,NaN,NaN,NaN,NaN,0.011543748,4.84,0.26,0.4,0.058091286,0.053719008,0.053941909,0.082644628,NaN,NaN,0.046547538,0.055145547,0.044106811,0.038158112,0.042710554,0.030764281,0.051732476,0.058091286,0.07120375,0.06199357,0.056236208,0.059030274,0.045071145,0.064155423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18714,NaN,NaN,NaN,NaN,NaN,NaN,0.02057272,4.74,0.26,0.4,0.033057851,0.054852321,0.053719008,0.084388186,NaN,NaN,0.012485131,0.044699591,0.034174092,0.040964223,0.043421915,0.039483337,0.051679814,0.033057851,0.062041552,0.053050432,0.059055955,0.059651852,0.053761786,0.064061013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18721,NaN,NaN,NaN,NaN,NaN,NaN,0.017030798,5.04,0.27,0.408,0.120253165,0.053571429,0.056962025,0.080952381,NaN,NaN,0.103222367,0.056903965,0.033326632,0.04499741,0.046107405,0.040993018,0.04925992,0.120253165,0.074989211,0.053275499,0.062358403,0.061876354,0.054956392,0.061437592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18722,NaN,NaN,NaN,NaN,NaN,NaN,0.015085547,5.13,0.28,0.415,0.073412698,0.054580897,0.055555556,0.080896686,NaN,NaN,0.058327151,0.043202259,0.036848837,0.042325734,0.045223698,0.038517808,0.048962023,0.073412698,0.062085683,0.056343401,0.059183855,0.060653437,0.052227894,0.061028044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18723,NaN,NaN,NaN,NaN,NaN,NaN,0.016678779,4.95,0.29,0.423,0.021442495,0.058585859,0.056530214,0.085454545,NaN,NaN,0.004763716,0.033068075,0.029664395,0.038565556,0.040107627,0.040276121,0.047846616,0.021442495,0.052783389,0.048752437,0.054972448,0.055233658,0.053734361,0.059821228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18724,NaN,NaN,NaN,NaN,NaN,NaN,0.023545857,5.07,0.3,0.43,0.084848485,0.059171598,0.060606061,0.084812623,NaN,NaN,0.061302628,0.023648593,0.039096539,0.042996023,0.036906389,0.043332548,0.049105659,0.084848485,0.044059311,0.057563157,0.058855285,0.051483863,0.05642108,0.060926941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18731,NaN,NaN,NaN,NaN,NaN,NaN,0.020223512,5.11,0.308,0.438,0.068639053,0.060273973,0.060749507,0.085714286,NaN,NaN,0.048415541,0.009749299,0.039044132,0.042508552,0.035575764,0.041644077,0.048626176,0.068639053,0.031561787,0.056042999,0.057505401,0.04939899,0.05418781,0.060120382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18732,NaN,NaN,NaN,NaN,NaN,NaN,0.018413108,4.98,0.315,0.445,0.036203523,0.063253012,0.061643836,0.08935743,NaN,NaN,0.017790415,0.030495414,0.041887471,0.045897511,0.029556392,0.043915213,0.050345925,0.036203523,0.050601119,0.057732941,0.060176022,0.04271729,0.055977608,0.061575508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
