year,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,ep,dp,dy,de,ERP,SP500
1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.058857427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.084,0.054852321,NaN,0.65,NaN,NaN
1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.074305532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.085,0.059171598,0.063291139,0.697674419,0.05860586,0.132911392
1873,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.090108147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.104,0.074660633,0.065088757,0.717391304,-0.153224518,-0.063116371
1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049638119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.101,0.072687225,0.074660633,0.717391304,0.052171836,0.101809955
1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044697863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.082,0.068649886,0.066079295,0.833333333,-0.016063502,0.028634361
1876,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041846129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.078,0.083798883,0.068649886,1.071428571,-0.153974275,-0.112128146
1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042255515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.092,0.058461538,0.053072626,0.633333333,-0.08136166,-0.039106145
1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038819214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09,0.052173913,0.055384615,0.580645161,0.078103863,0.116923077
1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041166122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.077,0.040650407,0.057971014,0.526315789,0.442891849,0.484057971
1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042689334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.084,0.044520548,0.052845528,0.530612245,0.197148064,0.239837398
